net,length_um
_25236_,443.45
_35015_,443.22
_35344_,442.02
_07069_,441.42
_09284_,441.295
_16626_,441.28
_20927_,441.26
_25699_,440.86
_25687_,440.63
_10386_,439.79
_35028_,439.47
_34926_,439.31
_35632_,437.52
_20924_,436.49
_22391_,436.05
_22388_,435.62
_07474_,435.31
_28961_,434.97
_10240_,434.35
_13726_,434.16
_21864_,432.98
_12248_,432.26
_35235_,432.23
_14675_,431.82
_22354_,431.43
_13238_,431.4
_19057_,431.02
_35163_,430.345
_26169_,429.875
_10389_,428.99
_34962_,428.93
_16620_,427.87
_35089_,427.39
_34748_,427.35
_08631_,426.41
_35415_,426.2
_24745_,426.095
ar_addr_r\[6\],425.68
_14678_,425
_25702_,423.835
_15591_,423.83
_25691_,423.56
_04121_,423.26
_14204_,423.04
_14201_,422.91
_29535_,422.87
_13242_,422.12
_26163_,421.57
net257,421.14
_13722_,420.61
_34959_,420.31
_04112_,419.88
_23762_,419.6
_10374_,418.81
_20931_,418.74
_21880_,418.645
_28587_,418.05
_04141_,417.33
_21877_,416.22
_15661_,415.79
_25705_,414.84
_16631_,414.56
_19527_,414.49
_07010_,413.92
_25712_,412.72
_27972_,412.71
_21874_,412.36
_19056_,412.23
net465,412.05
_28836_,411.95
_30018_,411.78
_04104_,411.625
_23755_,411.01
_04118_,410.96
_14212_,410.76
_35003_,410.12
_29067_,409.2
_26183_,409.09
_22350_,408.88
_34765_,408.66
_28397_,407.29
_35813_,406.695
_22362_,406.28
_30027_,406.14
_07954_,405.54
_13729_,404.35
_23796_,404.25
_04124_,403.59
_22343_,402.02
_34951_,401.78
_30015_,401.6
_35739_,401.325
_23736_,401.18
_09911_,400.95
_24196_,400.53
_10379_,400.005
_17235_,399.46
_10367_,398.63
_20456_,398.35
_14209_,398.01
_21867_,397.27
_24750_,396.94
_29542_,396.1
net511,396.09
_06456_,395.78
_27130_,395.74
_30024_,395.57
_28118_,394.685
_21887_,394.54
_16381_,394.07
_34949_,393.4
_37130_,393.36
_04550_,392.75
_16103_,392.52
_35522_,392.33
_35200_,391.97
_08392_,391.74
_37066_,389.42
_10375_,389.26
_14165_,388.62
_08452_,388.6
_13245_,388
_20934_,387.27
_28596_,387.27
_13732_,386.86
_29553_,385.96
_34948_,385.76
